Text,Label
"

The Global Library of Women's Medicine is a free and publicly available resource of clinical information on women’s health launched on 20 November 2008. Its purpose is to provide expert support to obstetricians, gynecologists, and reproductive health professionals.The site is contributed to by over 750 specialists and its main feature is a large and continually growing library of specially commissioned chapters on most aspects of women's medicine, constantly reviewed and updated. This has recently been supported by the introduction of an online Learning Assessment option, providing Certificates of Study Completion plus Continuing Professional Development awards (from FIGO - International Federation of Gynaecology and Obstetrics) for those who undertake this assessment successfully The site also includes an extensive section on Safer Motherhood providing practical guidance for nurses, midwives and other healthcare workers  and it offers a free Safer Motherhood app so that these resources can accompany care providers during their daily work. Whilst the resources provided by The Global Library are designed to be relevant everywhere, there is an additional special focus on the needs of LMICs.The Global Library is run as a not-for-profit undertaking and it accepts no advertising or commercial sponsorship; its income is dependent on personal donations and unrestricted educational grants.The editor-in-chief is Peter von Dadelszen, Professor of Global Women’s Health, King's College London.
The website has been certified to be ""fully compliant with the HONcode standard for trustworthy health information"" by the Health On the Net Foundation.

",1
Hope in Hell: Inside the World of Doctors Without Borders is a 2006 book by Dan Bortolotti about Médecins Sans Frontières.,1
"Index Medicus (IM) is a curated subset of MEDLINE, which is a bibliographic database of life science and biomedical science information, principally scientific journal articles. From 1879 to 2004, Index Medicus was a comprehensive bibliographic index of such articles in the form of a print index or (in later years) its onscreen equivalent.    Medical history experts have said of Index Medicus that it is “America's greatest contribution to medical knowledge.”",1
"The Liber pantegni (παντεχνῆ ""[encompassing] all [medical] arts"") is a medieval medical text compiled by Constantinus Africanus (died before 1098/99) prior to 1086. Constantine’s Pantegni has been called “the first fully comprehensive medical text in Latin.” There was, of course, a substantial body of Latin medical writing circulating in western Europe in the early Middle Ages, but the Pantegni was the first text to bring together, in one place, a broad array of learning on anatomy, physiology, and therapeutics. It was dedicated to Abbot Desiderius of Monte Cassino, before he became Pope Victor III in 1086.  In 2010, a manuscript at the Hague known to scholars since the early 20th century, but little studied, was recognized as being the earliest copy of the Pantegni, made at Monte Cassino under Constantine's supervision.The Pantegni is a compendium of Hellenistic and Islamic medicine, for the most part a translation from the Arabic of the Kitab al-Malaki ""Royal Book"" (also called the Kitāb Kāmil aṣ-ṣinā'a aṭ-ṭibbīya, ""the complete""—or ""perfect""—""book of the medical art"") of Ali ibn al-Abbas al-Majusi.  A distinction is made between theorica and practica, as it has been made before in the so-called Isagoge Johannitii, an earlier medical text that was originally written by Hunayn ibn Ishaq.  Each part of al-Majusi's original, Theorica and Practica, had had ten books.  The Theorica was translated in its entirety. However, in Constantine's version, the Practica was never completed, perhaps because of damage that occurred when Constantine brought his books from North Africa to Italy. Extant manuscripts show that initially only a three-book Practica was in circulation in the early part of the 12th century, consisting of Book I on regimen, the first half of Book II on simple (uncompounded) medicinal substances, and the first third of Book IX on surgery. Interest in the surgical material prompted two subsequent translators, a converted Muslim and a Christian physician from Pisa, to complete the translation of Book IX in 1114-15, during a siege of the Balearic Islands.Research by Monica H. Green and Iolanda Ventura has demonstrated, however, that more of the Pantegni, Practica seems to have been translated by Constantine, perhaps toward the end of his life, than scholars had hitherto known. Green established that at least three twelfth-century manuscripts contain translations of Books VI and VII (on diseases of the thorax and gastro-intestinal system, respectively). Ventura not only identified the existence of a mid-twelfth-century manuscript copy of the tenth book of the Practica, the antidotarium (on compound drugs), but she also established that Constantine (or an associate) did complete the translation of the second half of Book II of the Practica, translating the section on simple (uncompounded) medicines.There were, in other words, bits and pieces of at least six of the ten books of the Pantegni, Practica in circulation in the 12th century. But they were scattered and in some cases incoherent. A devotee of the Constantinian project did not give up the goal of seeing the Practica finally made whole. Perhaps as late as the early thirteenth century, this still anonymous editor pieced together a ""complete"" version of the Practica, gathering all the sections that Constantine had translated himself and fusing them with excerpts from several of Constantine's other translations (such as the Viaticum and his translation of Isaac Israeli's 10th-century book on fevers) and weaving them together into what passed as al-Majusi's full ten-book treatise. This ""re-created"" twenty-book Pantegni (now joining together the 10 books of the Theorica and the newly constituted 10 books of the Practica) began to circulate by the second quarter of the 13th century and would be printed in 1515 under Isaac Israeli's name.
In 1127, Stephen of Antioch, a Pisan notary working in the Crusader state of Antioch, criticized the incompleteness and poor quality of Constantine's Pantegni and re-translated al-Majusi's Arabic treatise anew.  This was known as the Liber regalis dispositionis. Nevertheless, Constantine's Pantegni proved to be the far more influential text; it now survives in over 100 manuscript copies, whereas Stephen's Liber regalis survives in only eight. In addition, the Pantegni would be turned to by a variety of compilers and medical writers as a source for specific information on anatomy and physiology. The section on reproductive anatomy, for example, was excerpted early in the 12th century and would form the foundation for beliefs about generation for centuries to come.

",1
"Life on the Ground Floor: Letters from the Edge of Emergency Medicine is an autobiographical book by Canadian doctor James Maskalyk about his work and reflections on working in emergency departments in St Michael's Hospital in Toronto, Canada, and Black Lion Hospital in Addis Ababa, Ethiopia, as well as work in Cambodia and Bolivia.Life on the Ground Floor was released on 11 April 2017 as a follow-up to Maskalyk's first book, Six Months in Sudan.

",1
"

Loimologia, or, an historical Account of the Plague in London in 1665, With precautionary Directions against the like Contagion is a treatise by Dr. Nathaniel Hodges (1629–1688), originally published in London in Latin (Loimologia, sive, Pestis nuperæ apud populum Londinensem grassantis narratio historica) in 1672; an English translation was later published in London in 1720. The treatise provides a first-hand account of the Great Plague of London; it has been described as the best medical record of the epidemic. While most physicians fled the city, including the renowned Thomas Sydenham, and Sir Edward Alston, president of the Royal College of Physicians, Hodges was one of the few physicians who remained in the city during 1665, to record observations and test the effectiveness of treatments against the plague. The book also contains statistics on the victims in each parish.The English translation (1720) was released while a plague was spreading throughout Marseilles, and people in England were fearful of another outbreak. To this 1720 edition was added An essay on the different causes of pestilential diseases, and how they become contagious; with remarks on the infection now in France, and the most probable means to prevent its spreading here, by John Quincy.Loimologia was one of the sources used by Daniel Defoe when writing A Journal of the Plague Year (1722).

",1
"A medical journal is a peer-reviewed scientific journal that communicates medical information to physicians, other health professionals. Journals that cover many medical specialties are sometimes called general medical journals.",1
"Medical literature retrieval or medical document retrieval is an activity that uses professional methods for medical research papers retrieval, report and other data to improve medicine research and practice.


",1
"

Medical Press and Circular was a medical publication from Dublin, Ireland. It was established in 1866 with the merger of the Dublin Medical Press and the Medical Circular. Its masthead featured a Latin language version of the Cicero motto Salus Populi Suprema Lex (the health of the people shall be the supreme law). It ceased publication in 1961.

",1
"
A medical writer, also referred to as medical communicator, is a person who applies the principles of clinical research in developing clinical trial documents that effectively and clearly describe research results, product use, and other medical information.
The medical writer develops any of the five modules of the Common Technical Document. The medical writers also ensure that their documents comply with regulatory, journal, or other guidelines in terms of content, format, and structure.
Medical writing as a function became established in the pharmaceutical, medical device industry and Contract Research Organizations (CROs) because the industry recognized that it requires special skill to produce well-structured documents that present information clearly and concisely. All new drugs go through the increasingly complex process of clinical trials and regulatory procedures that lead to market approval. This demand for the clear articulation of medical science, drives the demand for well written, standards-compliant documents that medical professionals can easily and quickly read and understand. Similarly, medical institutions engage in translational research, and some medical writers have experience offering writing support to the principal investigators for grant applications and specialized publications.The medical writing market is estimated to be USD 3.36 billion in 2020 and is growing at a 12.1% compound annual growth rate.",1
"My Own Country: A Doctor's Story is Abraham Verghese's first book. First published in 1994, it made that year's New York Times Notable Book list. It is used in colleges and medical schools throughout North America and across the world because of the way it communicates the sense of empathy and compassion so often missing in medical school education in an era of high technology and reliance on computers as primary diagnostic tools.
",1
"Theophanes Chrysobalantes (Greek: Θεοφάνης Χρυσοβαλάντης, fl. c. mid-10th century), erroneously known as Theophanes Nonnus or Nonnos in older scholarship, was a Byzantine physician who wrote an outline of medicine dedicated to Emperor Constantine VII Porphyrogennetos.


",1
"Phantom Plague: How Tuberculosis Shaped our History is a 2022 non-fiction book about the history of tuberculosis by health journalist Vidya Krishnan.It covers the history of tuberculosis through the 19th, 20th, and early 21st centuries, from early understandings of the disease to modern public health and pharmaceutical interventions. The book explores how flawed philanthropy, politics, racism, and anti-science rhetoric have led to ""medical apartheid"".


",1
"Preventable: How a Pandemic Changed the World & How to Stop the Next One is a 2022 memoir about the COVD-19 pandemic by Devi Sridhar. The book documents the pandemic from the author's perspective as an advisor to the Scottish and UK governments, with criticism of the latter. Preventable was met with positive critical reception, noted for humanizing the pandemic and the author's accessible style.


",1
"Shiroi Kyotō (白い巨塔, literally ""The White Tower"") is a 1965 novel by Toyoko Yamasaki. It has been adapted into a film in 1966 and then five times as a television series in 1967, 1978, 1990, 2003, and 2019. The 1966 film was entered into the 5th Moscow International Film Festival where it won a Silver Prize.

",1
"

Six Months in Sudan is a 2009 autobiographical memoir by Canadian doctor James Maskalyk about his 2007 work in the village of Abyei, Sudan, for Médecins Sans Frontières. Six Months in Sudan was initially written as a blog, which Maskalyk later turned into a book.",1
"The Social Science Research Network (SSRN) is a repository for preprints devoted to the rapid dissemination of scholarly research in the social sciences, humanities, life sciences, and health sciences, among others. Elsevier bought SSRN from Social Science Electronic Publishing Inc. in May 2016. It is not an electronic journal, but rather an eLibrary and search engine.",1
"To Err Is Human: Building a Safer Health System is a landmark report issued in November 1999 by the U.S. Institute of Medicine that may have resulted in increased awareness of U.S. medical errors. The push for patient safety that followed its release continues. The report was based upon analysis of multiple studies by a variety of organizations and concluded that between 44,000 to 98,000 people die each year as a result of preventable medical errors. For comparison, fewer than 50,000 people died of Alzheimer's disease and 17,000 died of illicit drug use in the same year.The report called for a comprehensive effort by health care providers, government, consumers, and others. Claiming knowledge of how to prevent these errors already existed, it set a minimum goal of 50 percent reduction in errors over the next five years. Though not currently quantified, as of 2007 this ambitious goal has yet to be met.


",1
"Tomida femina (Occitan: [tuˈmiðɔ ˈfeminɔ], Catalan: [tuˈmiðə ˈfɛminə]; ""A swollen woman"") is the earliest surviving poem in Occitan, a sixteen-line charm probably for the use of midwives. It is preserved in the left and bottom margins of a Latin legal treatise in a ninth- or tenth-century manuscript, where it is written upside down. Line 14 is missing, but has been supplied by the editors on the basis of the pattern of the final three lines. It has been edited and translated into English by William Doremus Paden and Frances Freeman Paden:

The meaning of the poetic charm, a ""talking cure"", is uncertain. Possibly it is intended as a cure for an edema. The swollen woman of line 1 and the swollen child of line 3 may both be patients, or perhaps only one of them. The charm transfers the swelling from the patient to wood and iron, possibly referring to medical instruments, and thence to the earth. On the other hand, the swollen woman and child ""held in her lap"" may refer to a pregnancy. The chanter may be the midwife. The poem's editors note the fittingness of an image of birth at the beginning of Occitan literature.
",1
"Y a-t-il une erreur qu'ILS n'ont pas commise ? : Covid-19 : l'union sacrée de l'incompétence et de l'arrogance (Is there a mistake THEY didn't make?: COVID-19: the sacred union of incompetence and arrogance) is an argumentative and polemical essay by Christian Perronne published in 2020 by Albin Michel. Its content deals with the controversial governmental and scientific issues relating to the management of the COVID-19 pandemic in France.


",1
"This category is for books that catalogue the medicinal properties of plants.
",1
"An index case, also known as a patient zero, is an individual believed to be the initial case of a condition or syndrome  as described in medical literature.
",1
"


Medicine is the science and practice of caring for a patient, managing the diagnosis, prognosis, prevention, treatment, palliation of their injury or disease, and promoting their health. Medicine encompasses a variety of health care practices evolved to maintain and restore health by the prevention and treatment of illness. Contemporary medicine applies biomedical sciences, biomedical research, genetics, and medical technology to diagnose, treat, and prevent injury and disease, typically through pharmaceuticals or surgery, but also through therapies as diverse as psychotherapy, external splints and traction, medical devices, biologics, and ionizing radiation, amongst others.Medicine has been practiced since prehistoric times, and for most of this time it was an art (an area of creativity and skill), frequently having connections to the religious and philosophical beliefs of local culture. For example, a medicine man would apply herbs and say prayers for healing, or an ancient philosopher and physician would apply bloodletting according to the theories of humorism. In recent centuries, since the advent of modern science, most medicine has become a combination of art and science (both basic and applied, under the umbrella of medical science). For example, while stitching technique for sutures is an art learned through practice, knowledge of what happens at the cellular and molecular level in the tissues being stitched arises through science.
Prescientific forms of medicine, now known as traditional medicine or folk medicine, remain commonly used in the absence of scientific medicine and are thus called alternative medicine. Alternative treatments outside of scientific medicine with ethical, safety and efficacy concerns are termed quackery.
",1
"The following outline is provided as an overview of and topical guide to medicine:
Medicine – science of healing. It encompasses a variety of health care practices evolved to maintain health by the prevention and treatment of illness.
",1
"Bakri Osman Saeed is president of the Association of African Universities. He is the former Pioneer Dean of St George’s International Medical School.


",1
"Medicine by country.
",1
"This category is for medicine by decade
",1
"Medicine by year
",1
"
Alternative medicine encompasses methods used in both complementary medicine and alternative medicine, known collectively as complementary and alternative medicine (CAM). These methods are used in place of (""alternative to""), or in addition to (""complementary to""), conventional medical treatments. The terms are primarily used in the western world, and include several traditional medicine techniques practiced throughout the world.
If you add something to this category it should also be added to list of forms of alternative medicine.
",1
See also Category:Biology organizations and Category:Medical and health organizations.,1
"All human societies have medical beliefs - birth, death, disease and cures are explained in some manner. Historically, throughout the history of medicine world illness has often been attributed to witchcraft, demons or the will of the gods, ideas that still retain some power, even in 'modern' societies, with faith healing and shrines still common.
",1
"Intersex refers to the state where sex chromosomes, genitalia, and/or secondary sex characteristics do not fit typical notions for male or female bodies. This category collects pages and categories solely related to intersex medical issues and medical treatment.
",1
"Intersex refers to the state where naturally someone's sex chromosomes, genitalia, and, or secondary sex characteristics do not fit typical notions for male or female bodies. This category collects pages and categories solely related to intersex medical issues and medical treatment.
",1
"This subcategory is for articles dealing with the scientific (biological) and medical aspects of death in human beings.
",1
"Phenomena pertaining to medicine.
",1
,1
,1
"This category is reserved for articles which are descriptions of terms used in Medicine and which don't belong to any other category, such as the name of a disease or a medical test.
",1
,1
"

Health has a variety of definitions, which have been used for different purposes over time. Health can be promoted by encouraging healthful activities, such as regular physical exercise and adequate sleep, and by reducing or avoiding unhealthful activities or situations, such as smoking or excessive stress. Some factors affecting health are due to individual choices, such as whether to engage in a high-risk behavior, while others are due to structural causes, such as whether the society is arranged in a way that makes it easier or harder for people to get necessary healthcare services. Still, other factors are beyond both individual and group choices, such as genetic disorders.

",1
"The age of onset is the age at which an individual acquires, develops, or first experiences a condition or symptoms of a disease or disorder. For instance, the general age of onset for the spinal disease scoliosis is ""10-15 years old,"" meaning that most people develop scoliosis when they are of an age between ten and fifteen years.
Diseases are often categorized by their ages of onset as congenital, infantile, juvenile, or adult. Missed or delayed diagnosis often occurs if a disease that is typically diagnosed in juveniles (such as asthma) is present in adults, and vice versa (such as arthritis). Depending on the disease, ages of onset may impact features such as phenotype, as is the case in Parkinson's and Huntington's diseases. For example, the phenotype for juvenile Huntington's disease clearly differs from adult-onset Huntington's disease and late-onset Parkinson's exhibits more severe motor and non-motor phenotypes.

",1
"Attachment and health is psychological model which considers how attachment theory pertains to people's preferences and expectations for the proximity of others when faced with stress, threat, danger or pain. In 1982 the American Psychiatrist, Lawrence Kolb, noticed that patients with chronic pain displayed behaviours with their healthcare providers akin to what children might display with an attachment figure, thus marking one of the first applications of attachment theory to physical health. Development of adult attachment theory and adult attachment measures in the 1990s provided researchers with the means to apply attachment theory to health in a more systematic way. Since that time, it has been used to understand variation in stress response, health outcomes and health behaviour. Ultimately, the application of attachment theory to health care may enable health care practitioners to provide more personalized medicine by creating a deeper understanding of patient distress and allowing clinicians to better meet their needs and expectations.


",1
"Behavioral medicine is concerned with the integration of knowledge in the biological, behavioral, psychological, and social sciences relevant to health and illness. These sciences include epidemiology, anthropology, sociology, psychology, physiology, pharmacology, nutrition, neuroanatomy, endocrinology, and immunology. The term is often used interchangeably, but incorrectly, with health psychology. The practice of behavioral medicine encompasses health psychology, but also includes applied psychophysiological therapies such as biofeedback, hypnosis, and bio-behavioral therapy of physical disorders, aspects of occupational therapy, rehabilitation medicine, and physiatry, as well as preventive medicine. In contrast, health psychology represents a stronger emphasis specifically on psychology's role in both behavioral medicine and behavioral health.Behavioral medicine is especially relevant in recent days, where many of the health problems are primarily viewed as behavioral in nature, as opposed to medical. For example, smoking, leading a sedentary lifestyle, and alcohol use disorder or other substance use disorder are all factors in the leading causes of death in the modern society. Practitioners of behavioral medicine include appropriately qualified nurses, social workers, psychologists, and physicians (including medical students and residents), and these professionals often act as behavioral change agents, even in their medical roles.Behavioral medicine uses the biopsychosocial model of illness instead of the medical model. This model incorporates biological, psychological, and social elements into its approach to disease instead of relying only on a biological deviation from the standard or normal functioning.
",1
Community diagnosis is the identification and quantification of health problems in a given population using health indicators to define those at risk or those in need of care and the opportunities and resources available to address these factors.,1
"


Health care, or healthcare, is the improvement of health via the prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people. Health care is delivered by health professionals and allied health fields. Medicine, dentistry, pharmacy, midwifery, nursing, optometry, audiology, psychology, occupational therapy, physical therapy, athletic training, and other health professions all constitute health care. The term includes work done in providing primary care, secondary care, and tertiary care, as well as in public health.
Access to healthcare may vary across countries, communities, and individuals, influenced by social and economic conditions as well as health policies. Providing health care services means ""the timely use of personal health services to achieve the best possible health outcomes"". Factors to consider in terms of healthcare access include financial limitations (such as insurance coverage), geographical and logistical barriers (such as additional transportation costs and the ability to take paid time off work to use such services), sociocultural expectations, and personal limitations (lack of ability to communicate with health care providers, poor health literacy, low income). Limitations to health care services affects negatively the use of medical services, the efficacy of treatments, and overall outcome (well-being, mortality rates).
Health systems are organizations established to meet the health needs of targeted populations. According to the World Health Organization (WHO), a well-functioning healthcare system requires a financing mechanism, a well-trained and adequately paid workforce, reliable information on which to base decisions and policies, and well-maintained health facilities to deliver quality medicines and technologies.
An efficient healthcare system can contribute to a significant part of a country's economy, development, and industrialization. Health care is conventionally regarded as an important determinant in promoting the general physical and mental health and well-being of people around the world. An example of this was the worldwide eradication of smallpox in 1980, declared by the WHO, as the first disease in human history to be eliminated by deliberate healthcare interventions.
",1
"Health Disparities Centers are institutions in the United States that cover a broad range of needs and focus areas to decrease currently disproportionate illness and disease rates that lead to health disparities. They also promote the engagement, empowerment and recruitment of underrepresented populations in health professions. Many programs devote significant resources to developing cultural competency training to promote the delivery of culturally sensitive healthcare by faculty and staff, as well as current and future healthcare providers. These services are usually tailored to meeting specific goals or missions of the individual components common in most of the operating Health Disparities Centers.


",1
"Health equity arises from access to the social determinants of health, specifically from wealth, power and prestige. Individuals who have consistently been deprived of these three determinants are significantly disadvantaged from health inequities, and face worse health outcomes than those who are able to access certain resources. It is not equity to simply provide every individual with the same resources; that would be equality. In order to achieve health equity, resources must be allocated based on an individual need-based principle.According to the World Health Organization, ""Health is a state of complete physical, mental and social well-being and not merely the absence of disease or infirmity"". The quality of health and how health is distributed among economic and social status in a society can provide insight into the level of development within that society. Health is a basic human right and human need, and all human rights are interconnected. Thus, health must be discussed along with all other basic human rights.Health equity is defined by the CDC as ""the state in which everyone has a fair and just opportunity to attain their highest level of health"".  It is closely associated with the social justice movement, with good health considered a fundamental human right.  These inequities may include differences in the ""presence of disease, health outcomes, or access to health care"": 3  between populations with a different race, ethnicity, gender, sexual orientation, disability, or socioeconomic status.It is important to distinguish between health inequity and health inequality. Health inequality is the term used in a number of countries to refer to those instances whereby the health of two demographic groups (not necessarily ethnic or racial groups) differs despite similar access to health care services. It can be further described as differences in health that are avoidable, unfair, and unjust, and cannot be explained by natural causes, such as biology, or differences in choice. Thus, if one population dies younger than another because of genetic differences, a non-remediable/controllable factor, we tend to say that there is a health inequality. On the other hand, if a population has a lower life expectancy due to lack of access to medications, the situation would be classified as a health inequity. These inequities may include differences in the ""presence of disease, health outcomes, or access to health care"". Although it is important to recognize the difference in health equity and equality, having equality in health is essential to begin achieving health equity. The importance of equitable access to healthcare has been cited as crucial to achieving many of the Millennium Development Goals.",1
"Health policy can be defined as the ""decisions, plans, and actions that are undertaken to achieve specific healthcare goals within a society"". According to the World Health Organization, an explicit health policy can achieve several things: it defines a vision for the future; it outlines priorities and the expected roles of different groups; and it builds consensus and informs people.",1
"
A health system, health care system or healthcare system is an organization of people, institutions, and resources that delivers health care services to meet the health needs of target populations.
There is a wide variety of health systems around the world, with as many histories and organizational structures as there are nations. Implicitly, nations must design and develop health systems in accordance with their needs and resources, although common elements in virtually all health systems are primary healthcare and public health measures. In certain nations, the orchestration of health system planning is decentralized, with various stakeholders in the market assuming responsibilities. In contrast, in other regions, a collaborative endeavor exists among governmental entities, labor unions, philanthropic organizations, religious institutions, or other organized bodies, aimed at the meticulous provision of healthcare services tailored to the specific needs of their respective populations. Nevertheless, it is noteworthy that the process of healthcare planning is frequently characterized as an evolutionary progression rather than a revolutionary transformation. As with other social institutional structures, health systems are likely to reflect the history, culture and economics of the states in which they evolve. These peculiarities bedevil and complicate international comparisons and preclude any universal standard of performance.
",1
"Various topics in medicine relate to lesbian, gay, bisexual, and transgender people. According to the US Gay and Lesbian Medical Association (GLMA), besides HIV/AIDS, issues related to LGBT health include breast and cervical cancer, hepatitis, mental health, substance use disorders, alcohol use, tobacco use, depression, access to care for transgender persons, issues surrounding marriage and family recognition, conversion therapy, refusal clause legislation, and laws that are intended to ""immunize health care professionals from liability for discriminating against persons of whom they disapprove.""LGBT people may face barriers to accessing healthcare on the basis of their sexual orientation and/or gender identity or expression. Many avoid or delay care or receive inappropriate or inferior care because of perceived or real homophobia or transphobia and discrimination by healthcare providers and institutions; in other words, negative personal experience, the assumption or expectation of negative experience based on knowledge of the history of such experience in other LGBT people, or both.",1
"
",1
"Mens sana in corpore sano (Classical Latin: [mẽːs ˈsaːna ɪŋ ˈkɔrpɔrɛ ˈsaːnoː]) is a Latin phrase, usually translated as ""a healthy mind in a healthy body"". The phrase is widely used in sporting and educational contexts to express that physical exercise is an important or essential part of mental and psychological well-being.
",1
"Polyuria () is excessive or an abnormally large production or passage of urine (greater than 2.5 L or 3 L over 24 hours in adults). Increased production and passage of urine may also be termed diuresis. Polyuria often appears in conjunction with polydipsia (increased thirst), though it is possible to have one without the other, and the latter may be a cause or an effect. Primary polydipsia may lead to polyuria. Polyuria is usually viewed as a symptom or sign of another disorder (not a disease by itself), but it can be classed as a disorder, at least when its underlying causes are not clear.",1
"

Population health has been defined as ""the health outcomes of a group of individuals, including the distribution of such outcomes within the group"". It is an approach to health that aims to improve the health of an entire human population. It has been described as consisting of three components. These are ""health outcomes, patterns of health determinants, and policies and interventions"".A priority considered important in achieving the aim of population health is to reduce health inequities or disparities among different population groups due to, among other factors, the social determinants of health (SDOH). The SDOH include all the factors (social, environmental, cultural and physical) that the different populations are born into, grow up and function with throughout their lifetimes which potentially have a measurable impact on the health of human populations. The population health concept represents a change in the focus from the individual-level, characteristic of most mainstream medicine. It also seeks to complement the classic efforts of public health agencies by addressing a broader range of factors shown to impact the health of different populations. The World Health Organization's Commission on Social Determinants of Health, reported in 2008, that the SDOH factors were responsible for the bulk of diseases and injuries and these were the major causes of health inequities in all countries.  In the US, SDOH were estimated to account for 70% of avoidable mortality.From a population health perspective, health has been defined not simply as a state free from disease but as ""the capacity of people to adapt to, respond to, or control life's challenges and changes"". The World Health Organization (WHO) defined health in its broader sense in 1946 as ""a state of complete physical, mental, and social well-being and not merely the absence of disease or infirmity.""",1
"The psychological impact of discrimination on health refers to the cognitive pathways through which discrimination impacts mental and physical health in members of marginalized, subordinate, and low-status groups (e.g. racial and sexual minorities). Research on the relation between discrimination and health became a topic of interest in the 1990s, when researchers proposed that persisting racial/ethnic disparities in health outcomes could potentially be explained by racial/ethnic differences in experiences with discrimination. Although the bulk of the research tend to focus on the interactions between interpersonal discrimination and health, researchers studying discrimination and health in the United States have proposed that institutional discrimination and cultural racism also give rise to conditions that contribute to persisting racial and economic health disparities.A stress and coping framework is often applied to investigate how discrimination influences health outcomes in racial, gender, and sexual minorities, as well as on immigrants and indigenous populations. Findings indicate that experiences of discrimination tend to translate into worse physical and mental health and lead to increased participation in unhealthy behaviors. Evidence of the inverse link between discrimination and health has been consistent across multiple population groups and various cultural and national contexts.",1
"There is empirical evidence of the causal impact of social relationships on health. The social support theory suggests that relationships might promote health especially by promoting adaptive behavior or regulating the stress response. Troubled relationships as well as loneliness and social exclusion may have negative consequences on health. Neurosciences of health investigate the neuronal circuits implicated in the context of both social connection and disconnection.

",1
